user_id,device,country,timestamp,group,converted,session_duration,hour_of_day
42,Smartphone,França,2024-06-01 06:02:00,Nível 0,1,18.6757654,6
1650,Tablet,Reino Unido,2024-06-01 14:41:00,Nível 0,1,4.283270494,14
1308,Tablet,Reino Unido,2024-06-01 08:19:00,Nível 1,1,17.94985294,8
671,Smartphone,França,2024-06-01 15:29:00,Nível 0,1,18.844162057,15
51,Smartphone,Brasil,2024-06-01 14:30:00,Nível 0,1,4.285243665,14
579,Desktop,França,2024-06-01 11:25:00,Nível 1,0,0.0,11
852,Desktop,Canadá,2024-06-01 18:08:00,Nível 0,0,0.0,18
61,Desktop,Canadá,2024-06-01 08:13:00,Nível 0,0,0.0,8
1537,Tablet,Brasil,2024-06-01 19:30:00,Nível 0,0,0.0,19
1431,Smartphone,Índia,2024-06-01 13:29:00,Nível 1,0,0.0,13
158,Smartphone,Brasil,2024-06-01 04:32:00,Nível 0,1,54.90040802,4
108,Tablet,EUA,2024-06-01 19:11:00,Nível 0,1,19.169379081,19
1427,Smartphone,Austrália,2024-06-01 18:25:00,Nível 1,0,0.0,18
1450,Desktop,Índia,2024-06-01 12:40:00,Nível 0,1,45.28362456,12
1807,Desktop,Alemanha,2024-06-01 13:18:00,Nível 0,0,0.0,13
1366,Desktop,França,2024-06-01 22:05:00,Nível 1,0,0.0,22
849,Tablet,Austrália,2024-06-01 16:29:00,Nível 1,0,0.0,16
838,Smartphone,Austrália,2024-06-01 22:50:00,Nível 0,0,0.0,22
25,Smartphone,Índia,2024-06-01 10:49:00,Nível 1,1,17.46682583,10
1154,Smartphone,França,2024-06-01 03:20:00,Nível 0,0,0.0,3
488,Smartphone,Reino Unido,2024-06-01 08:57:00,Nível 0,1,18.616823695,8
742,Tablet,EUA,2024-06-01 11:50:00,Nível 0,1,19.424792266,11
749,Smartphone,França,2024-06-01 15:24:00,Nível 0,0,0.0,15
795,Desktop,Brasil,2024-06-01 07:47:00,Nível 1,0,0.0,7
230,Desktop,EUA,2024-06-01 10:14:00,Nível 1,0,0.0,10
17,Tablet,EUA,2024-06-01 01:43:00,Nível 1,0,0.0,1
1265,Tablet,Canadá,2024-06-01 17:52:00,Nível 1,1,3.060815654,17
976,Desktop,Brasil,2024-06-01 15:56:00,Nível 0,1,4.536810972,15
1474,Tablet,Alemanha,2024-06-01 01:10:00,Nível 0,0,0.0,1
1359,Tablet,Índia,2024-06-01 13:19:00,Nível 0,0,0.0,13
1133,Desktop,Austrália,2024-06-01 12:44:00,Nível 0,1,18.828332412,12
833,Smartphone,Canadá,2024-06-01 09:47:00,Nível 0,1,64.44639398000001,9
667,Desktop,Alemanha,2024-06-01 01:50:00,Nível 1,0,0.0,1
1169,Desktop,Alemanha,2024-06-01 08:46:00,Nível 1,0,0.0,8
1944,Tablet,Índia,2024-06-01 12:37:00,Nível 0,1,19.009023626,12
456,Tablet,Índia,2024-06-01 22:14:00,Nível 0,0,0.0,22
502,Smartphone,Alemanha,2024-06-01 14:11:00,Nível 0,0,0.0,14
1909,Desktop,Índia,2024-06-01 06:44:00,Nível 0,0,0.0,6
1483,Desktop,EUA,2024-06-01 22:43:00,Nível 0,1,41.16047319,22
1705,Desktop,Brasil,2024-06-01 06:23:00,Nível 0,0,0.0,6
666,Desktop,Austrália,2024-06-01 17:11:00,Nível 1,0,0.0,17
1219,Smartphone,Brasil,2024-06-01 03:07:00,Nível 0,0,0.0,3
1640,Smartphone,Austrália,2024-06-01 10:45:00,Nível 1,0,0.0,10
1967,Smartphone,Alemanha,2024-06-01 02:17:00,Nível 1,0,0.0,2
1359,Smartphone,Alemanha,2024-06-01 14:24:00,Nível 0,0,0.0,14
1855,Desktop,Austrália,2024-06-01 17:28:00,Nível 1,0,0.0,17
929,Smartphone,Brasil,2024-06-01 09:18:00,Nível 0,0,0.0,9
1268,Desktop,Alemanha,2024-06-01 16:16:00,Nível 0,0,0.0,16
629,Desktop,Índia,2024-06-01 23:34:00,Nível 1,1,2.173698743,23
710,Desktop,Índia,2024-06-01 16:24:00,Nível 0,1,3.746141615,16
1892,Tablet,Reino Unido,2024-06-01 03:39:00,Nível 1,0,0.0,3
1110,Desktop,Índia,2024-06-01 12:07:00,Nível 1,0,0.0,12
767,Tablet,Índia,2024-06-01 06:35:00,Nível 1,0,0.0,6
1087,Tablet,Alemanha,2024-06-01 21:31:00,Nível 1,0,0.0,21
919,Desktop,Canadá,2024-06-01 22:40:00,Nível 0,1,18.898830547,22
161,Smartphone,Reino Unido,2024-06-01 11:47:00,Nível 0,1,18.562900365,11
96,Tablet,Austrália,2024-06-01 22:12:00,Nível 1,0,0.0,22
1063,Desktop,Reino Unido,2024-06-01 06:06:00,Nível 0,0,0.0,6
1465,Tablet,Brasil,2024-06-01 12:26:00,Nível 0,0,0.0,12
1167,Tablet,Austrália,2024-06-01 02:14:00,Nível 1,0,0.0,2
1143,Desktop,Austrália,2024-06-01 23:32:00,Nível 0,0,0.0,23
1435,Desktop,Reino Unido,2024-06-01 10:40:00,Nível 1,1,2.667114597,10
738,Desktop,EUA,2024-06-01 14:14:00,Nível 1,0,0.0,14
714,Smartphone,França,2024-06-01 18:22:00,Nível 0,0,0.0,18
1646,Smartphone,Brasil,2024-06-01 08:27:00,Nível 0,0,0.0,8
769,Smartphone,Brasil,2024-06-01 18:49:00,Nível 1,0,0.0,18
1864,Smartphone,Canadá,2024-06-01 18:35:00,Nível 0,1,3.941413998,18
397,Desktop,Austrália,2024-06-01 12:50:00,Nível 1,0,0.0,12
1215,Smartphone,França,2024-06-01 16:04:00,Nível 1,1,5.749849453,16
1580,Desktop,Reino Unido,2024-06-01 22:18:00,Nível 1,0,0.0,22
714,Smartphone,Canadá,2024-06-01 20:04:00,Nível 0,1,4.618416233,20
1,Smartphone,Reino Unido,2024-06-01 06:22:00,Nível 1,0,0.0,6
884,Tablet,Reino Unido,2024-06-01 05:44:00,Nível 0,0,0.0,5
249,Smartphone,Índia,2024-06-01 07:55:00,Nível 0,0,0.0,7
1824,Smartphone,Alemanha,2024-06-01 16:53:00,Nível 0,0,0.0,16
1591,Tablet,Canadá,2024-06-01 05:50:00,Nível 1,0,0.0,5
1344,Tablet,Canadá,2024-06-01 16:56:00,Nível 1,0,0.0,16
1405,Smartphone,França,2024-06-01 11:37:00,Nível 0,1,19.637341925,11
1574,Smartphone,França,2024-06-01 21:57:00,Nível 0,0,0.0,21
114,Smartphone,França,2024-06-01 16:18:00,Nível 1,0,0.0,16
823,Tablet,EUA,2024-06-01 11:32:00,Nível 1,0,0.0,11
1208,Desktop,EUA,2024-06-01 03:06:00,Nível 0,0,0.0,3
567,Desktop,Índia,2024-06-01 20:05:00,Nível 0,1,4.963142927,20
111,Desktop,Reino Unido,2024-06-01 20:11:00,Nível 1,0,0.0,20
1143,Desktop,Austrália,2024-06-01 12:44:00,Nível 0,1,18.828332412,12
546,Desktop,EUA,2024-06-01 10:10:00,Nível 0,0,0.0,10
156,Smartphone,França,2024-06-01 01:06:00,Nível 1,1,1.900970118,1
485,Smartphone,Reino Unido,2024-06-01 10:17:00,Nível 0,0,0.0,10
1953,Desktop,Alemanha,2024-06-01 06:37:00,Nível 0,0,0.0,6
1347,Desktop,Austrália,2024-06-01 13:15:00,Nível 1,0,0.0,13
1045,Smartphone,Brasil,2024-06-01 16:38:00,Nível 0,0,0.0,16
488,Desktop,Austrália,2024-06-01 05:13:00,Nível 0,1,18.943218718,5
1302,Smartphone,França,2024-06-01 12:56:00,Nível 0,1,18.993978224,12
1827,Tablet,França,2024-06-01 14:58:00,Nível 0,0,0.0,14
178,Desktop,Canadá,2024-06-01 09:56:00,Nível 0,1,2.992968363,9
15,Smartphone,Austrália,2024-06-01 12:00:00,Nível 0,0,0.0,12
699,Smartphone,Alemanha,2024-06-01 12:33:00,Nível 0,1,4.039957632,12
1408,Tablet,EUA,2024-06-01 21:19:00,Nível 0,0,0.0,21
824,Smartphone,Índia,2024-06-01 11:41:00,Nível 0,1,19.691597258,11
1443,Smartphone,EUA,2024-06-01 09:48:00,Nível 0,1,18.005026865,9
961,Desktop,Brasil,2024-06-01 08:38:00,Nível 0,0,0.0,8
